"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"257","2023/1/27",0,0,NA,NA,4.02621423257301,4.17077803683993,4.31524871910802
"258","2023/1/28",0,0,NA,NA,4.00719808698084,4.15187257636861,4.29578797896176
"259","2023/1/29",0,0,NA,NA,3.99054921036265,4.13399225372252,4.27740697206995
"260","2023/1/30",2,1,4.279191129,3.489080567,3.97221524614635,4.11734305381088,4.26056439490755
"261","2023/1/31",2,1,4.311677448,3.505323726,3.95372884728992,4.10149159472651,4.24354989894897
"262","2023/2/1",2,2,4.208583018,4.208583018,3.93797332354693,4.08530097809873,4.22714971403796
"263","2023/2/2",0,0,NA,NA,3.92368981469646,4.06932652148421,4.21116409723641
"264","2023/2/3",0,0,NA,NA,3.90819082427051,4.05519870612255,4.19541187692818
"265","2023/2/4",0,0,NA,NA,3.89176744221547,4.03996872418196,4.18019000502273
"266","2023/2/5",0,0,NA,NA,3.87600235587487,4.02642138871367,4.16417696689654
"267","2023/2/6",2,1,4.613817357,3.656393681,3.86388468632427,4.01269857613232,4.14845651891879
"268","2023/2/7",2,2,3.823639264,3.823639264,3.8495942690558,3.99873884135023,4.13404613454194
"269","2023/2/8",2,2,3.914748625,3.914748625,3.83538287177193,3.98480382538306,4.12159432618875
"270","2023/2/9",0,0,NA,NA,3.82036293884601,3.97179350012332,4.10965440747863
"271","2023/2/10",0,0,NA,NA,3.80992506660299,3.96066927797261,4.09834280026364
"272","2023/2/11",0,0,NA,NA,3.79706616453448,3.94946696642163,4.08746595856184
"273","2023/2/12",0,0,NA,NA,3.78436509214208,3.93934494856514,4.07624265791353
"274","2023/2/13",2,0,NA,2.698970004,3.7759856296137,3.92883519960202,4.06700215754677
"275","2023/2/14",2,1,4.662217099,3.680593551,3.7666569173059,3.9197314943793,4.05725560806022
"276","2023/2/15",2,2,3.959709371,3.959709371,3.75644597005971,3.91121444197146,4.04821940845615
"277","2023/2/16",0,0,NA,NA,3.75045416460138,3.90315886350256,4.03984482039568
"278","2023/2/17",0,0,NA,NA,3.74288243582181,3.89687054659087,4.03432740174514
"279","2023/2/18",0,0,NA,NA,3.73607038811041,3.89094344409346,4.02779664360923
"280","2023/2/19",0,0,NA,NA,3.73256809544015,3.8849644298608,4.02404495148157
"281","2023/2/20",0,0,NA,NA,3.73004536790035,3.8799423577315,4.01969802405974
"282","2023/2/21",2,2,3.814743966,3.814743966,3.72610743355404,3.87610475552792,4.01527707507438
"283","2023/2/22",2,1,3.625565784,3.162267894,3.72301115020045,3.87333807976317,4.0142159407962
"284","2023/2/23",2,0,NA,2.698970004,3.72010497014763,3.87087249604714,4.01205233769199
"285","2023/2/24",0,0,NA,NA,3.71876572788061,3.87022960582527,4.01286400759037
