"","date","count","positive","concentration","low","median","upr"
"248",2022-09-05,6,4,3.40217763001954,3.3312258218129,3.3939625617181,3.45192099741584
"249",2022-09-06,6,4,3.58262905705144,3.33009135496236,3.39351375299486,3.4513339005817
"250",2022-09-07,6,4,3.39531869803698,3.32922746532747,3.39260378100613,3.45193235080862
"251",2022-09-08,6,5,3.45995757906564,3.32856451279526,3.39152040721793,3.45084921921226
"252",2022-09-09,6,4,3.20169559209098,3.32729612748624,3.39038745624206,3.45033503211457
"253",2022-09-10,6,3,3.504610773987,3.32584714249587,3.38959930136825,3.44832603259527
"254",2022-09-11,6,4,3.54042244403372,3.32339243100935,3.38760205649135,3.44691190163353
"255",2022-09-12,6,2,2.99084286501263,3.32187942039775,3.38499836901989,3.44443781797393
"256",2022-09-13,6,4,3.32313489809053,3.32016317852123,3.38330561326676,3.44123820497673
"257",2022-09-14,6,5,3.5894758699535,3.31746331757684,3.38022918380113,3.43798586894907
"258",2022-09-15,5,4,3.32521447691143,3.31338460676304,3.37682303898692,3.43566260592455
"259",2022-09-16,6,5,3.19759538386745,3.30914361618579,3.37284422184693,3.43099715182858
"260",2022-09-17,6,5,3.39896338794803,3.30511930345799,3.36833477483804,3.42657668524002
"261",2022-09-18,5,3,3.07212289516334,3.29929287329626,3.36335750283071,3.42207774052385
"262",2022-09-19,6,3,3.31995444600452,3.29289146007255,3.3585829209092,3.41696496670381
"263",2022-09-20,5,4,3.25645306890321,3.28806263994522,3.3532548940373,3.413340538472
"264",2022-09-21,5,2,3.03654177904742,3.28289338408085,3.3478889761876,3.408503163077
"265",2022-09-22,6,2,3.18212312389392,3.27647960362021,3.34292129727361,3.40481389925064
"266",2022-09-23,6,4,3.38519791491864,3.2719290467883,3.33859473065822,3.40103981182638
"267",2022-09-24,6,4,3.20513628511852,3.26698559500772,3.33480777659183,3.39773342129878
"268",2022-09-25,6,2,3.14152528609886,3.26426059377275,3.33113807021077,3.39482447835413
"269",2022-09-26,6,3,3.22456254105926,3.26204165385076,3.32789891648734,3.39149199573222
"270",2022-09-27,5,3,3.27102454711618,3.25868723677283,3.32580862032126,3.38924239335208
"271",2022-09-28,6,1,3.63326784297084,3.25673321331341,3.32401028430408,3.38746836975685
"272",2022-09-29,6,6,3.24747725496215,3.25408384876278,3.32323532883207,3.38601036003164
"273",2022-09-30,6,1,3.09678885400644,3.25293730062705,3.32305248001166,3.38574914066211
"274",2022-10-01,6,3,3.16750638098261,3.2528233955,3.32267875338664,3.38610066650752
"275",2022-10-02,6,3,3.2046384399977,3.25263041240959,3.32337764043382,3.38747697502804
"276",2022-10-03,6,3,3.24794531996226,3.25343812321067,3.32411696771387,3.38839742792832
"277",2022-10-04,6,3,3.30828311797908,3.25229507238497,3.32532377499521,3.39077126421031
"278",2022-10-05,6,5,3.45240082698065,3.2520090885005,3.32646049171539,3.39441185303273
"279",2022-10-06,5,4,3.29978047791339,3.25050046959394,3.32764536966489,3.39814590678668
"280",2022-10-07,6,2,3.5205045650543,3.24798014091735,3.32836717577436,3.40416833637063
"281",2022-10-08,6,2,3.07118375993864,3.2436806489554,3.32999670743898,3.4113262807031
"282",2022-10-09,6,4,3.30582281489341,3.23785815634272,3.33144272958147,3.41962729432797
"283",2022-10-10,6,4,3.37089635305566,3.22992805651762,3.33287376718947,3.42873436589356
"284",2022-10-11,6,3,3.34907556506035,3.2210995848929,3.33374195399304,3.44004044559959
